Time	cm/s
0	10
1	12
2	14
3	16
4	18
5	20
6	22
7	24
8	26
9	28
10	30
11	32
12	34
13	36
14	38
15	40
16	42
17	44
18	46
19	48
20	50
21	52
22	54
23	56
24	58
25	60
26	62
27	64
28	66
29	68
30	70
31	72
32	74
33	76
34	78
35	80
36	82
37	84
38	86
39	88
40	90
41	92
42	94
43	96
44	98
45	100
46	102
47	104
48	106
49	108
50	110
51	112
52	114
53	116
54	118
55	120
56	122
57	124
58	126
59	128
60	130
61	132
62	134
63	136
64	138
65	140
66	142
67	144
68	146
69	148
70	150
71	150
